p_bowl,bowl,bowlruns,ballfaced,p_match,bowl_style,economy,outs,average,strike rate
510530,Jamie Overton,1959,1250,73,RF,9.4032,64,30.609375,19.53125
595954,Duan Jansen,827,605,30,LF,8.201652892561983,27,30.62962962962963,22.40740740740741
1072472,Muhammad Musa,1106,714,34,RFM,9.294117647058824,36,30.72222222222222,19.833333333333332
570241,Mattie McKiernan,989,703,38,RWS,8.440967283072546,32,30.90625,21.96875
20367,Darren Stevens,1271,855,54,RM,8.919298245614035,41,31.0,20.853658536585368
389666,Mohammad Abbas,869,610,28,RFM,8.547540983606558,28,31.035714285714285,21.785714285714285
458897,Ruaidhri Smith,1149,802,40,RM,8.596009975062344,37,31.054054054054053,21.675675675675677
410316,Alex Hughes,1836,1364,76,RM,8.07624633431085,59,31.11864406779661,23.11864406779661
556684,Mir Hamza,937,650,30,LM,8.649230769230769,30,31.233333333333334,21.666666666666668
274921,Veerasammy Permaul,1064,961,47,SLA,6.643080124869927,34,31.294117647058822,28.264705882352942
413099,Calum Haggett,846,540,29,RM,9.4,27,31.333333333333332,20.0
31872,Shahbaz Nadeem,942,697,39,SLA,8.109038737446198,30,31.4,23.233333333333334
553800,Chris Tremain,1099,813,40,RFM,8.11070110701107,35,31.4,23.228571428571428
424377,Krishnappa Gowtham,975,720,40,OB,8.125,31,31.451612903225808,23.225806451612904
230371,Ben Cutting,2909,1904,120,RFM,9.167016806722689,92,31.619565217391305,20.695652173913043
46149,Eddie Leie,919,680,35,RWS,8.108823529411765,29,31.689655172413794,23.448275862068964
44394,Gareth Berg,954,648,38,RM,8.833333333333334,30,31.8,21.6
696401,Marco Jansen,1338,939,44,LMF,8.549520766773163,42,31.857142857142858,22.357142857142858
471342,Krunal Pandya,3156,2559,134,SLA,7.399765533411489,99,31.87878787878788,25.848484848484848
494581,Rahkeem Cornwall,735,555,38,OB,7.945945945945946,23,31.956521739130434,24.130434782608695
308408,Josh Cobb,1312,1031,81,OB,7.635305528612997,41,32.0,25.146341463414632
440523,Ben Wheeler,1129,765,35,LMF,8.854901960784314,35,32.25714285714286,21.857142857142858
429886,Wihan Lubbe,682,566,38,OB,7.229681978798586,21,32.476190476190474,26.952380952380953
423838,Rahul Tewatia,1170,882,56,RWS,7.959183673469388,36,32.5,24.5
700167,Navdeep Saini,1466,1066,51,RF,8.25140712945591,45,32.577777777777776,23.68888888888889
547758,Ed Nuttall,1467,985,52,LMF,8.936040609137056,45,32.6,21.88888888888889
605575,Matthew Short,754,606,45,OB,7.465346534653466,23,32.78260869565217,26.347826086956523
17970,Daryl Mitchell,1350,1107,75,RM,7.317073170731708,41,32.926829268292686,27.0
926851,Mukesh Kumar,858,565,28,RM,9.111504424778762,26,33.0,21.73076923076923
268740,Seekkuge Prasanna,1427,1132,66,RWS,7.563604240282685,43,33.18604651162791,26.325581395348838
637163,Aron Nijjar,1033,741,37,SLA,8.364372469635628,31,33.32258064516129,23.903225806451612
297936,Jack Shantry,935,633,30,LM,8.862559241706162,28,33.392857142857146,22.607142857142858
232361,Kieran Noema-Barnett,974,655,49,RM,8.922137404580152,29,33.58620689655172,22.586206896551722
623695,Chamika Karunaratne,1315,942,54,RFM,8.375796178343949,39,33.717948717948715,24.153846153846153
297630,Matt Coles,1354,884,44,RFM,9.190045248868778,40,33.85,22.1
